post_id,post_text,time,likes,comments,shares,reaction_count,like,love,wow,angry,haha,care,sad
716840060481930,"Octoboo! 👻 Get ready for a month to remember this October jet-setting around the world with your favorite CN characters🌍

Don't forget to put on your Halloween best while tuning in to our Howl-o-ween spooktacular! 🎃",2023-10-01 18:02:33,270,15,36,368,270,91.0,2.0,0.0,0.0,5.0,0.0
716839973815272,"Get ready for a sunset cinematic extravaganza at Southside Sentosa in Singapore! 🎬 We're bringing the magic with #WB100 Movie Screenings for the whole family 🏝️🎥

🦖 17th November: Godzilla Vs. Kong
👸 18th November: Barbie
⚡ 19th November: Harry Potter and the Sorcerer's Stone
💥 24th November: The Flash
🍫 25th November: Charlie and the Chocolate Factory
🌊 26th November: Aquaman

Mark your calendars, grab your squad, and see you at the movies! This is a free event.

➡️ Visit www.sentosa.com.sg/wb100 for more information.

#WB100inSingapore #VisitSingapore #Sentosa",2023-10-01 18:02:23,47,0,5,65,47,15.0,1.0,0.0,1.0,1.0,0.0
714332967399306,"Looks like Tom and Jerry aren't just sweating from the chasin'. ☀️ Welcome to sunny Singapore - Let the adventure begin!

📺 Tom and Jerry: Premieres 21 Oct, Weekends at 10:30AM(SG/MY) | 9:30AM (TH/ID) | 12:15PM (PH) and stream on HBO Asia",2023-09-30 11:00:47,1774,141,160,2399,1774,452.0,27.0,16.0,28.0,82.0,20.0
715563783942891,"There's no running from Wile E. Coyote no matter which show you're watching, unless of course, you're beep-beep-ing away! 💨

📺 Stream your favorite Cartoon Network shows on HBO Asia",2023-09-29 11:00:45,104,3,12,148,104,26.0,2.0,0.0,13.0,2.0,1.0
713222270843709,"大朋友小朋友跟著熊熊遇見你一起動起來🐻🐼🐻

動物星球頻道 X 台灣人壽 「祖孫三代與獸同行」動物園健走活動來囉！
全家一起來動物園健行大冒險，還有機會把機車、 飯店住宿券 帶回家🎁

別忘了活動當天上午有兩場 #熊熊遇見你 舞蹈表演見面會，各位鐵粉們千萬別錯過囉！

【祖孫三代與獸同行 活動資訊】
‧ 活動時間：10/14 星期六 09:00 - 12:00
‧ 活動地點：臺北市立動物園
‧ 參加方式：自行購票入園，至大會服務台免費報名領取手冊，限額1500名
台灣人壽 x 動物星球 祖孫三代與獸同行 線上健走

台灣人壽讚 動物星球頻道(台灣)
#祖孫三代與獸同行 #祖孫三代健走 #線上健走 #卡通頻道
SYM－SanYang Motor 福容大飯店",2023-09-29 11:00:04,37,0,4,44,37,6.0,0.0,0.0,1.0,0.0,0.0
705393508293252,"Only true fans know Finn was hiding that luscious mane under that cap this WHOLE time! 💁‍♂️

📺 Adventure Time: Weekdays at 8:15PM (PH) | 8:30PM (SG/MY) | 7:30PM (TH/ID) | Stream on HBO Asia",2023-09-28 19:00:43,10740,242,1200,24267,10740,7282.0,82.0,2.0,5784.0,283.0,94.0
714933577339245,"🎉 Join the biggest bash of the year in sunny Singapore! ☀️

We're making waves at Sentosa from November 10 - 26, for #WB100 Celebrating Every Story! 🎬 Get ready for a legendary adventure as we celebrate 100 years of unforgettable memories and storytelling. 🌟

From DC Comics super heroes to the timeless antics of Cartoon Network Asia's Looney Tunes and Tom and Jerry, plus the enchanting Wizarding World – it's a family event like no other.

➡️ Visit www.sentosa.com.sg/wb100 for more information.

#WB100inSingapore #VisitSingapore #Sentosa",2023-09-28 11:06:44,58,1,3,70,58,12.0,0.0,0.0,0.0,0.0,0.0
713884147444188,"This is NOT a drill - How many fluffy stacks of pancake goodness can we pack onto one plate? 🥞 Happy World Pancake Day!

📺 Stream your Cartoon Network favorites on HBO Asia",2023-09-26 19:01:09,284,4,22,503,284,190.0,2.0,0.0,14.0,13.0,0.0
713660777466525,"Besides banks, investments are another way to grow your money! Justin take you behind the scenes on how he invests in the BatCat company 🦇🐱

Learn about investing with Cha-Ching: ➡️ https://bit.ly/46pHir6

#ChaChing #PrudenceFoundation",2023-09-26 09:51:00,56,0,5,88,56,22.0,0.0,1.0,3.0,6.0,0.0
713219297510673,"Stress is real - and affects EVERYONE! 🤦‍♀️ Your favourite Cartoon Network stars share Safe Steps to feel better when life gets overwhelming and tough.

😴 Sleep tight (9 hours every night)
🥗 Eat right (Have fruits and vegetables with every meal)
🤸‍♀️ Get outside (Stretch it out!)
⏰ Take a break (15 minutes every time)
📝 Pen it down (Write your feelings in a diary)
🤳 Stay connected (Hang out with your friends)

Get more stress-management tips: ➡️ https://www.safestepskids.com/stress-busters

#SafeStepsKids #PrudenceFoundation",2023-09-25 15:45:33,47,0,4,62,47,13.0,0.0,0.0,0.0,2.0,0.0
712492680916668,"No time to waste! ⏰ Check out the new Tweet x CASIO BABY-G watch, featuring a Tweety silhouette LED backlight and Tweety engravings. 🐥

🛒 Shop now: https://www.casio.com/intl/watches/babyg/products/collection/special/tweety/",2023-09-24 11:00:51,94,0,4,130,94,30.0,1.0,0.0,2.0,2.0,1.0
702820798550523,"Love is most definitely in the air! Do you think you have as much ✨flower power✨ as Tom? 🐱

📺 Tom and Jerry in New York: Stream on HBO Asia",2023-09-23 19:00:16,731,7,38,887,731,104.0,1.0,1.0,37.0,13.0,0.0
